,ncessch,bias_own_ses_hs,med_family_income,rent_pctage_household_income,num_white,num_black,num_native,num_asian,num_hispanic,num_ell,commute_total,commute_less_than_10_min,commute_10to14min,commute_15to19min,commute_20to24min,commute_25to29min,commute_30to34min,commute_35to44min,commute_45to59min,commute_60_more_min,poverty_status_total,poverty_status_income_below_poverty_lvl,poverty_status_fam_households,poverty_status_married_fam,poverty_status_other_fam,snap_total,snap_with_cash_public_assist,snap_no_cash_public_assist,poverty_inc_ratio_total,poverty_inc_ratio_under.5,poverty_inc_ratio_.50to.99,poverty_inc_ratio_1.00to1.24,poverty_inc_ratio_1.25to1.49,poverty_inc_ratio_1.50to1.84,poverty_inc_ratio_1.85to1.99,poverty_inc_ratio_2.00over,pct_commute_less_than_29,pct_commute_greater_than_30,pct_snap_no_cash_public_assist,pct_snap_with_cash_public_assist,pct_poverty_inc_ratio_185_under,nces_id,ap_courses,honors_classes,gs_equity_rating,gs_overall_rating,gs_test_rating,gs_progress_rating,high_school,clustering_hs,volunteering_rate_hs,pct_married_couple_families,pct_single_parent_families,pct_english_lang,pct_non_english_lang,pct_homeowners,pct_non_homeowners,pct_less_than_hs_edu,pct_hs_degree,pct_associates_degree,pct_bachelors_degree,pct_post_grad_higher_degree
1198,390470202752,0.016240001,100591.21818181819,28.60727272727273,12.651869158878505,0.955607476635514,0.0794392523364486,4.350467289719626,1.6074766355140186,5.121495327102804,38020.0,2712.0,5766.0,7407.0,9929.0,2906.0,4167.0,1724.0,2452.0,957.0,38058.0,4554.0,2037.0,351.0,1686.0,38058.0,5460.0,32598.0,84924.0,3338.0,11090.0,3787.0,1494.0,6143.0,3148.0,55924.0,0.7553918990005261,0.24460810099947397,0.8565347627305692,0.14346523726943086,0.30441335782582074,390470202752,26.0,0.0,4.0,7.0,9.0,7.0,390470202752,0.45135,0.084789999,0.6266265522663398,0.11610890316829477,0.7602916960715126,0.4794166078569748,0.721675395263034,0.2783246047369659,0.016842061650646337,0.08606783780797701,0.03932576510882775,0.37274196221412,0.3580267373770854
1199,390470204614,-0.01499,172902.78968253967,21.677777777777777,12.581632653061224,0.2857142857142857,0.02040816326530612,4.26530612244898,0.7142857142857143,2.7270408163265305,194304.0,14876.0,24851.0,22178.0,16358.0,14900.0,39148.0,32797.0,24383.0,4813.0,148287.0,3033.0,1935.0,1841.0,94.0,148287.0,1473.0,146814.0,473449.0,1398.0,8723.0,470.0,7678.0,792.0,8549.0,445839.0,0.47947031455862976,0.5205296854413702,0.9900665601165308,0.009933439883469218,0.040259880156046375,390470204614,23.0,0.0,,9.0,9.0,7.0,390470204614,0.47465,0.085129999,0.8225997264224185,0.06627232060334948,0.7339014381307997,0.5321971237384007,0.8792265887833192,0.12077341121668084,0.00625323646178229,0.04644224582986803,0.041301175325999966,0.400695545059394,0.4255731479592637
1200,390473402843,0.032910001,88353.6862745098,29.43529411764706,32.54430379746835,0.9493670886075949,0.02531645569620253,0.9177215189873418,1.7215189873417722,1.6518987341772151,28291.0,4929.0,2394.0,2758.0,4482.0,3984.0,4759.0,2082.0,1323.0,1580.0,30566.0,2235.0,1023.0,340.0,683.0,30566.0,1510.0,29056.0,65391.0,1336.0,3225.0,4120.0,1872.0,1387.0,698.0,52753.0,0.6555795129193029,0.34442048708069706,0.950598704442845,0.04940129555715501,0.18259393494517595,390473402843,27.0,0.0,7.0,9.0,9.0,9.0,390473402843,0.454,0.077629998,0.5336600910996034,0.15137082387987322,0.9518176622386948,0.09636467552261037,0.7369022670984949,0.26309773290150507,0.03211158603397728,0.17543409375832897,0.10432070126254898,0.30566715694500657,0.19772366070106512
1201,390473402850,0.02478,82093.06451612903,28.299999999999997,28.314606741573034,0.5449438202247191,0.02247191011235955,0.6573033707865169,1.252808988764045,1.2808988764044944,27408.0,1857.0,3346.0,3682.0,4335.0,5092.0,5244.0,2046.0,1178.0,628.0,30978.0,4788.0,1035.0,879.0,156.0,30978.0,2446.0,28532.0,67099.0,1039.0,6438.0,1899.0,1797.0,4580.0,666.0,50680.0,0.6681260945709282,0.3318739054290718,0.9210407385886759,0.07895926141132417,0.2347725003353254,390473402850,27.0,0.0,4.0,8.0,9.0,10.0,390473402850,0.48458999,0.081629999,0.5604686131628084,0.11754986037442787,0.9273120838083908,0.1453758323832185,0.7407921479204878,0.25920785207951225,0.03864073146584358,0.17151010424553026,0.0793100770679246,0.3030205967425698,0.21513986760623532
1202,390473602855,0.080580004,82196.94117647059,29.087647058823528,22.242236024844722,7.788819875776397,0.049689440993788817,1.5900621118012421,1.6925465838509317,1.8540372670807452,136213.0,11132.0,11073.0,17908.0,32025.0,16587.0,25882.0,12430.0,5382.0,3794.0,118100.0,8094.0,4626.0,1243.0,3383.0,118100.0,7968.0,110132.0,283854.0,9950.0,11818.0,7110.0,4919.0,15035.0,7245.0,227777.0,0.651369546225397,0.348630453774603,0.9325317527519051,0.06746824724809483,0.17203210100967398,390473602855,,,3.0,5.0,5.0,5.0,390473602855,0.36893001,0.046560001,0.5229413397221325,0.1782293737504177,0.9506793762991408,0.09864124740171841,0.7880255325415301,0.21197446745846998,0.04829544545073295,0.29698209489417965,0.10478632642803863,0.24767502537063538,0.08746386485214602
1203,390473602859,0.01509,68526.99242424243,32.2030303030303,10.620320855614974,10.058823529411764,0.11764705882352941,0.9090909090909091,1.8181818181818181,1.9197860962566844,78230.0,6087.0,9709.0,10378.0,15306.0,8789.0,14623.0,7117.0,2789.0,3432.0,63788.0,5855.0,4542.0,408.0,4134.0,63788.0,8140.0,55648.0,166442.0,9028.0,12125.0,5955.0,8363.0,19632.0,4198.0,107141.0,0.6425795730538156,0.3574204269461843,0.8723897911832946,0.12761020881670534,0.3310642746422177,390473602859,16.0,0.0,3.0,4.0,3.0,6.0,390473602859,0.45095,0.05009,0.4618362831858407,0.24274591558883593,0.9233321987746766,0.1533356024506467,0.7795056160653506,0.22049438393464943,0.08484246647785364,0.35431821653955087,0.10419776009777537,0.1918724219383498,0.08038264017016676
1204,390486503325,-0.051819999,60641.85031847134,27.102070063694264,1.5350624399615753,0.004803073967339097,0.0,0.004803073967339097,0.013448607108549471,0.024015369836695485,226056.0,19605.0,14837.0,27003.0,28834.0,9056.0,25389.0,19207.0,38595.0,43530.0,233406.0,32939.0,19674.0,12973.0,6701.0,233406.0,22648.0,210758.0,575400.0,26329.0,48539.0,29386.0,28616.0,47714.0,15590.0,379226.0,0.43942651378419506,0.5605734862158049,0.9029673615931039,0.09703263840689613,0.3138408063955509,390486503325,,,2.0,4.0,3.0,7.0,390486503325,0.64919001,0.042989999,0.5325763660029356,0.07356891633664737,0.9764380071450331,0.04712398570993381,0.794624608823285,0.20537539117671494,0.10629238688548383,0.5445572044493313,0.08924692337665821,0.07168717748894529,0.04918337952935275
1205,390486503335,-0.068960004,75690.05371900827,35.32355371900826,1.6741935483870967,0.0064516129032258064,0.0,0.0,0.012903225806451613,0.0,107078.0,3182.0,17936.0,15268.0,5719.0,2888.0,20922.0,9969.0,12598.0,18596.0,113350.0,10524.0,5494.0,2100.0,3394.0,113350.0,14864.0,98486.0,262401.0,1301.0,30685.0,8521.0,6480.0,16106.0,3305.0,196003.0,0.4201890210874316,0.5798109789125684,0.8688663431848258,0.13113365681517425,0.24044496781643362,390486503335,,,3.0,4.0,3.0,5.0,390486503335,0.58124,0.033050001,0.5894777167666965,0.07558847316221853,0.9837824032690589,0.03243519346188226,0.8190184310220066,0.18098156897799345,0.0858719175489844,0.4890773754646119,0.12741767999767087,0.08988480537251439,0.05505953825102142
1206,390486503340,-0.064970002,63002.762886597935,31.102577319587628,2.9450171821305844,0.0,0.0,0.0,0.06529209621993128,0.024054982817869417,70736.0,17550.0,6251.0,5673.0,2902.0,721.0,10568.0,6108.0,5797.0,15166.0,79527.0,9897.0,5355.0,2604.0,2751.0,79527.0,11889.0,67638.0,190674.0,9419.0,13263.0,24784.0,9054.0,6972.0,5474.0,121708.0,0.4678947070798462,0.5321052929201538,0.8505036025500773,0.14949639744992266,0.3329871928002769,390486503340,7.0,0.0,3.0,3.0,3.0,3.0,390486503340,0.57094002,0.057840001,0.5097478820046953,0.10501359414291944,0.9889762172093498,0.0220475655813004,0.744634257240157,0.255365742759843,0.12816399842189413,0.4870533026017982,0.09519508295438028,0.06155131958720073,0.04944558649473619
1207,390619004105,-0.0306,62965.270833333336,24.047916666666666,5.021857923497268,0.00546448087431694,0.00546448087431694,0.00819672131147541,0.08469945355191257,0.1448087431693989,73634.0,11722.0,8000.0,3571.0,9040.0,6484.0,7446.0,5751.0,5737.0,15883.0,83002.0,12347.0,7005.0,2495.0,4510.0,83002.0,12600.0,70402.0,228139.0,17802.0,15336.0,14640.0,16463.0,13025.0,3629.0,147244.0,0.527161365673466,0.47283863432653395,0.8481964290017108,0.1518035709982892,0.33867948925874136,390619004105,0.0,0.0,2.0,4.0,5.0,4.0,390619004105,0.50422001,0.065609999,0.5404606580155907,0.18801959445137892,1.0,0.0,0.7302465792138668,0.2697534207861332,0.10914858010196801,0.49819026244437814,0.0839484711285238,0.0662143403863368,0.09079823047883451
